id,nazwa
1,Błaszyk-Ambrozik Sp.j.
2,Grupa Pałgan
3,Poniedziałek s.c.
4,Kułach Sp.j.
5,Gabinety Szpyt S.A.
6,Gabinety Stanisławczyk S.A.
7,Spółdzielnia Warchał
8,Gabinety Łosiewicz Sp.j.
9,Biernacik i syn s.c.
10,Spółdzielnia Rząca-Jasnoch s.c.
11,Gadzina-Dudkowiak s.c.
12,Peciak-Pieczarka Sp. z o.o. Sp.k.
13,Baumgart-Drobot Sp. z o.o.
14,Gabinety Kopyść-Celuch Sp. z o.o.
15,Pawlukiewicz-Skoneczna Sp. z o.o.
16,PPUH Letkiewicz-Kościk Sp.j.
17,Fundacja Bicz Sp.j.
18,Ładniak Sp.k.
19,Krochmal Sp.k.
20,Rut-Bobrowicz Sp.k.
21,Zubowicz-Szlęk i syn s.c.
22,Bronka Sp.k.
23,Oleśkiewicz-Karpeta S.A.
24,Stowarzyszenie Maraszek
25,Spółdzielnia Piestrzeniewicz-Młot Sp. z o.o.
26,Stowarzyszenie Langa S.A.
27,Dorobek s.c.
28,Strządała-Koperek Sp.k.
29,Szyca S.A.
30,PPUH Freitag-Seidel Sp. z o.o.
31,Stowarzyszenie Sieradzan-Szmalec Sp.j.
32,Cofała S.A.
33,Jędra-Stupak Sp. z o.o. Sp.k.
34,FPUH Dzierżak Sp. z o.o. Sp.k.
35,Gabinety Zadka i syn s.c.
36,Stowarzyszenie Księżak S.A.
37,Korek-Prokopiak Sp.k.
38,Stowarzyszenie Laskus S.A.
39,Fundacja Proch
40,Fundacja Winnik-Płaneta s.c.
41,Wittbrodt Sp.j.
42,Duszczak-Juraszczyk Sp. z o.o.
43,Fundacja Sudnik
44,Zieniewicz Sp. z o.o.
45,Litwińczuk Sp. z o.o. Sp.k.
46,Fundacja Klemczak-Krzystek Sp. z o.o. Sp.k.
47,Gamrat Sp.k.
48,FPUH Lukas-Kosiak i syn s.c.
49,Kazior-Piesik S.A.
50,Fundacja Zaczyk
51,Wiekiera-Kłysz i syn s.c.
52,Fundacja Betlej-Drążyk Sp.j.
53,Fundacja Tabiś-Bieniak i syn s.c.
54,FPUH Ostafin
55,Gabinety Suchta-Ziemkiewicz Sp.j.
56,Gabinety Proć S.A.
57,Grupa Bartuś-Linkiewicz Sp. z o.o. Sp.k.
58,PPUH Nazimek-Gołek s.c.
59,PPUH Bylina
60,FPUH Glaza s.c.
61,Gabinety Drobot Sp.k.
62,Grunt Sp. z o.o. Sp.k.
63,Szkoła i syn s.c.
64,PPUH Małyszka-Ślimak Sp.j.
65,Dyszy-Gołas i syn s.c.
66,Klamka Sp.j.
67,FPUH Bakun s.c.
68,Dzienis-Wietecha Sp.j.
69,Spółdzielnia Dobosiewicz-Jędryczka S.A.
70,FPUH Faruga-Fydrych i syn s.c.
71,Stowarzyszenie Stępak s.c.
72,Fundacja Ziarek-Kolek Sp.j.
73,Spółdzielnia Melaniuk S.A.
74,Spółdzielnia Wacławczyk-Kubów Sp. z o.o. Sp.k.
75,Stowarzyszenie Duszczyk i syn s.c.
76,PPUH Wacławczyk
77,FPUH Kiedrowicz-Mądrzyk Sp. z o.o.
78,Gabinety Cieciura-Dargacz i syn s.c.
79,Słaba Sp.k.
80,Spółdzielnia Samson Sp.k.
81,Gabinety Szołtysik-Szlaga S.A.
82,PPUH Muzyk
83,Szkoda s.c.
84,Block Sp. z o.o. Sp.k.
85,Grupa Semik
86,Fundacja Ernst-Hampel Sp.k.
87,Grupa Lisoń-Durlik i syn s.c.
88,Gabinety Wygoda
89,Woronko-Plebanek Sp. z o.o. Sp.k.
90,Wawrzeńczyk Sp.j.
91,Szpyra-Czerniec i syn s.c.
92,Fundacja Rudolf
93,Stowarzyszenie Lampart-Wąsiewicz i syn s.c.
94,Fundacja Lubera-Widłak S.A.
95,Grupa Orawiec
96,Glazik-Koman Sp.j.
97,FPUH Rut-Wesoła S.A.
98,Grupa Andrys S.A.
99,Grupa Calik Sp. z o.o.
100,Stowarzyszenie Wiech
101,Grupa Tabiś
102,Piskor Sp.k.
103,FPUH Trojanek-Cabała Sp.k.
104,Gabinety Dreszer S.A.
105,Spółdzielnia Dulewicz
106,Smela-Suchora Sp. z o.o.
107,Grupa Wiatrak Sp.k.
108,Gabinety Molek
109,Grupa Kliszcz
110,Stowarzyszenie Paździora Sp.j.
111,Szymajda Sp. z o.o. Sp.k.
112,Gabinety Wasil
113,Świerszcz Sp.j.
114,Sierota-Janiga Sp.j.
115,Nikołajuk i syn s.c.
116,Sip-Wesoły i syn s.c.
117,Grupa Ksel
118,Materka Sp.j.
119,Jasica Sp.k.
